x,y,value
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.867616331
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.837505048
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.822324454
ISYNA1_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.762147195
UGT1A9_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,pDC_CD8Pos_over_cDC_CD8Pos,0.596886323
MGAM_GALACTOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.843543524
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.842008807
MTHFD2L_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.412109348
PKM2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.855178637
ITPKB_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.539979489
ACSM5_BUTANOATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.88751541
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.870627654
GAPDH_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.821731099
UGT2A3_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,pDC_CD8Pos_over_cDC_CD8Pos,1.063030582
AMDHD2_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.183710258
GALE_GALACTOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.091631627
PHPT1_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.154104249
SI_STARCH_AND_SUCROSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.701011011
LDHAL6B_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.178690232
TALDO1_PENTOSE_PHOSPHATE_PATHWAY,pDC_CD8Pos_over_cDC_CD8Pos,0.461961831
PIP5K1B_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.77792305
OCRL_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.179086853
PGAM1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.696978094
HAO2_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.988191109
G6PC2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.920929646
IMPA2_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.928604249
ITPK1_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.000331084
DCXR_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,pDC_CD8Pos_over_cDC_CD8Pos,0.924424071
PGK2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.827960953
SYNJ2_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.098728313
CRYL1_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,pDC_CD8Pos_over_cDC_CD8Pos,1.351583372
NANP_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,1.222778037
ADH4_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.951929934
MPI_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.63813134
PGM1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.014608852
