y,value,x
pDC_CD8Neg_over_cDC_CD8Neg,0.909006373,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.911468465,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.912087374,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.914700077,ACSS1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.915189045,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.921235581,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.92148707,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.933730233,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.934653804,PKM2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.938953101,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.940392178,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.959136454,LDHAL6B_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,0.995309673,PGAM1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.00553896,G6PC2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.018904231,PGK2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.068945264,ADH4_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.080325583,PGM1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.101359872,HK1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.121980531,TPI1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.14543621,DLAT_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.180455807,PGK1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.184721336,ALDH7A1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.207158073,PCK2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.20838071,PGK1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.211006539,PFKL_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.218668288,PFKM_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.279644779,ALDH3A2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.386093074,ALDH9A1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.431726198,LDHA_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.542020279,ACSS2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.570065193,PGM2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.653492933,DLD_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.757269824,PDHA1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.802297485,BPGM_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.818239193,ALDOA_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.855149178,PDHB_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,1.861168715,ALDH1B1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,2.093181763,ADH5_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,2.310629411,PGAM2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,2.535470734,PFKP_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,2.76549806,LDHB_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,3.64547922,LDHB_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,3.725509939,ALDH3B1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,4.074259852,ALDOC_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Neg_over_cDC_CD8Neg,5.506266428,ALDH2_GLYCOLYSIS_GLUCONEOGENESIS
